,Active.sport,Adrenaline.sports,Art.exhibitions,Biology,Cars,Celebrities,Chemistry,Countryside..outdoors,Dancing,Economy.Management,Foreign.languages,Fun.with.friends,Gardening,Geography,History,Internet,Law,Mathematics,Medicine,Musical.instruments,PC,Passive.sport,Pets,Physics,Politics,Psychology,Reading,Religion,Science.and.technology,Shopping,Theatre,Writing
1,5.0,4.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,5.0,3.0,1.0,4.0,4.0,2.0,2.0
7,3.0,1.0,1.0,5.0,4.0,1.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0
13,3.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,5.0,2.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,2.0,1.0
18,3.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,3.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0
24,4.0,3.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,2.0,5.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,5.0,3.0
27,5.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,4.0,5.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0
28,4.0,2.0,2.0,5.0,1.0,2.0,5.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0
37,1.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,5.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,1.0
40,5.0,3.0,1.0,3.0,4.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,5.0,1.0,1.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,2.0,1.0
51,4.0,4.0,3.0,5.0,1.0,4.0,5.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,5.0,1.0,2.0,3.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0
