,Active.sport,Adrenaline.sports,Art.exhibitions,Biology,Cars,Celebrities,Chemistry,Countryside..outdoors,Dancing,Economy.Management,Foreign.languages,Fun.with.friends,Gardening,Geography,History,Internet,Law,Mathematics,Medicine,Musical.instruments,PC,Passive.sport,Pets,Physics,Politics,Psychology,Reading,Religion,Science.and.technology,Shopping,Theatre,Writing
2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0
5,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0
9,1.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,1.0
11,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,1.0
12,3.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0
14,3.0,4.0,3.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,1.0,2.0,5.0,3.0,1.0
17,1.0,4.0,1.0,4.0,1.0,3.0,1.0,5.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0
23,3.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0
26,4.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,3.0,1.0
33,2.0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,1.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,1.0
36,3.0,2.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,1.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,5.0,1.0
41,1.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0
48,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,5.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,4.0,1.0
49,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0
50,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,5.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,5.0,2.0,1.0
60,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0
66,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
68,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
91,1.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,1.0
95,1.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0
97,4.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,4.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0
109,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0
118,1.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0
120,1.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0
127,1.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
133,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,5.0,1.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,5.0,1.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,1.0
143,4.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,1.0
144,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,1.0,1.0
146,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0
154,3.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,1.0
157,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0,5.0,3.0,1.0,4.0,1.0,1.0
158,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0
163,5.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
164,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0
165,3.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,1.0,5.0,4.0,4.0
167,5.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0
168,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0
188,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0
190,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0
193,4.0,2.0,2.0,3.0,1.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,5.0
195,2.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,3.0
198,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,3.0,5.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0
201,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0
205,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0
223,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0
225,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0
233,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0
235,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0
239,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,1.0
245,3.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,1.0
251,3.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0
255,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,1.0,4.0,2.0,5.0,3.0,1.0,2.0,5.0,3.0,2.0,5.0,1.0,3.0,4.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0
257,5.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0
264,4.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,5.0,3.0,3.0
266,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0
271,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,1.0,4.0,3.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,5.0,4.0,1.0,2.0,5.0,5.0,1.0
277,2.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0
280,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,2.0,1.0
283,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0
300,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0
303,3.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,5.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0
305,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,3.0,4.0,1.0,1.0
316,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,1.0
325,1.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0
327,3.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0
328,2.0,2.0,3.0,1.0,4.0,5.0,1.0,4.0,1.0,5.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,1.0,5.0,4.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,4.0,3.0,3.0
331,4.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,5.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,1.0
335,2.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0
345,2.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
346,2.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0
359,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
373,1.0,2.0,2.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,4.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0
393,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0
397,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0
398,2.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0
402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,5.0,1.0
404,3.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0
407,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,3.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,1.0
413,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,5.0,3.0,1.0,5.0,3.0,1.0
417,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,3.0,2.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0
419,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,5.0,1.0
425,1.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,3.0,5.0,1.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0
427,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0
434,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,4.0,3.0,5.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0
438,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0
439,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0
441,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0
