,Active.sport,Adrenaline.sports,Art.exhibitions,Biology,Cars,Celebrities,Chemistry,Countryside..outdoors,Dancing,Economy.Management,Foreign.languages,Fun.with.friends,Gardening,Geography,History,Internet,Law,Mathematics,Medicine,Musical.instruments,PC,Passive.sport,Pets,Physics,Politics,Psychology,Reading,Religion,Science.and.technology,Shopping,Theatre,Writing
447,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0
449,1.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,3.0,5.0,4.0,1.0
455,1.0,4.0,3.0,2.0,1.0,5.0,1.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,2.0,4.0,5.0,1.0,3.0,4.0,3.0,1.0,2.0,5.0,2.0,1.0
465,1.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,2.0,1.0
466,3.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,4.0,3.0,4.0,1.0
468,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0
469,4.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0
471,1.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,1.0
473,2.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0
485,3.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0
486,1.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0
491,5.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0
497,1.0,2.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0
502,5.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0
509,2.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,4.0,5.0,5.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0
515,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
