,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
2,4.0,4.0,5.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,1.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0
6,4.0,5.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,5.0,3.0,2.0
9,1.0,3.0,4.0,2.0,5.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0,2.0,5.0,2.0,4.0,4.0,3.0,2.0,1.0,5.0,5.0,1.0
12,4.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,5.0,1.0
13,1.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,4.0,3.0,1.0,3.0,1.0,1.0,5.0,4.0,1.0
15,4.0,4.0,5.0,2.0,5.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0
16,4.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,1.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,5.0,2.0
22,5.0,3.0,4.0,2.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,3.0,2.0
25,4.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,1.0,5.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0
28,5.0,4.0,4.0,3.0,3.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,2.0
33,4.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,1.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0,3.0,5.0,3.0,2.0
35,5.0,4.0,5.0,3.0,5.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0
38,4.0,1.0,2.0,5.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,4.0,3.0
40,3.0,2.0,5.0,2.0,5.0,2.0,3.0,4.0,5.0,3.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,1.0,2.0,5.0,4.0,2.0
48,5.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0
50,4.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,2.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0
58,4.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,2.0
60,3.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0
69,3.0,3.0,5.0,2.0,5.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0
76,4.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0
83,4.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,3.0,3.0
