,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
3,1.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,3.0,1.0,4.0,2.0,2.0
10,2.0,4.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0
20,5.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,2.0
27,1.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,5.0,3.0,2.0,2.0,5.0,2.0
34,3.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0,2.0
37,5.0,1.0,5.0,3.0,4.0,2.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,1.0
57,3.0,5.0,4.0,4.0,5.0,3.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0
61,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,5.0,3.0
86,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0
90,3.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0
93,3.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,3.0
94,1.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,5.0,1.0,3.0,3.0,3.0
