,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
103,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,1.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,5.0,4.0,2.0
110,5.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,4.0,5.0,3.0
112,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0
115,4.0,3.0,5.0,3.0,4.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0
121,5.0,3.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0
123,5.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0
124,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0
125,4.0,2.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0
134,4.0,1.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,4.0,1.0
151,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0
156,2.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0
173,3.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,5.0,3.0,4.0,1.0,3.0,4.0,3.0
175,5.0,1.0,1.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0
178,4.0,5.0,4.0,4.0,5.0,2.0,1.0,5.0,4.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0
179,3.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0
180,4.0,1.0,5.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0
183,4.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0
189,3.0,2.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0
190,4.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0
192,1.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0
194,4.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0
206,1.0,3.0,4.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,5.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0
207,5.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,2.0,2.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0
213,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,2.0,5.0,5.0,1.0,5.0,2.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0
215,4.0,4.0,4.0,3.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0
223,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0
228,4.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0
229,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,3.0
240,4.0,4.0,4.0,5.0,5.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0
244,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0
248,2.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,1.0
253,4.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,1.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0
256,2.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0
260,1.0,2.0,1.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0
261,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
263,3.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0
268,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0
270,3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0
273,2.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0
294,1.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,3.0
296,2.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0
301,4.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,1.0,4.0,3.0,3.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0
302,5.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,4.0
308,1.0,3.0,5.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0
324,5.0,1.0,2.0,5.0,5.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0
340,2.0,5.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0
341,2.0,4.0,3.0,5.0,4.0,2.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,5.0,1.0
349,4.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,5.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0
352,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0
355,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0
362,2.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0
363,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0
364,4.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0
366,4.0,5.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,2.0,5.0,5.0,3.0
372,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0
382,4.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,2.0
391,4.0,4.0,5.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,2.0,1.0,3.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0
397,3.0,1.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0
400,3.0,4.0,3.0,5.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,2.0,1.0
403,4.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,5.0,5.0,2.0,3.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,3.0,4.0,5.0,1.0
404,3.0,3.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0
405,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0
409,2.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,4.0,1.0,4.0,3.0,1.0
420,4.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,2.0
422,5.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,2.0,4.0,3.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,2.0
428,3.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,1.0
460,1.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0
462,3.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
476,2.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0
482,2.0,4.0,2.0,5.0,3.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
489,4.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0
493,4.0,5.0,5.0,4.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,2.0,5.0,2.0
497,2.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
498,2.0,1.0,1.0,4.0,5.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0
501,3.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,1.0
502,1.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,5.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,1.0
508,2.0,4.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,4.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0
509,5.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0
515,4.0,3.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,5.0,4.0
526,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0
532,3.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,2.0
540,3.0,4.0,1.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,4.0
545,3.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0
548,4.0,3.0,4.0,5.0,5.0,2.0,1.0,5.0,4.0,4.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,5.0,4.0,3.0
551,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0
553,2.0,5.0,4.0,3.0,5.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,5.0,2.0,5.0,5.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0,5.0,2.0,4.0,5.0,1.0
576,2.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0
591,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,4.0,4.0,2.0
602,2.0,5.0,4.0,4.0,3.0,3.0,1.0,3.0,5.0,4.0,1.0,1.0,4.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0
606,5.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,5.0
616,4.0,5.0,3.0,5.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0
618,1.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0
620,4.0,2.0,3.0,5.0,4.0,1.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0
638,4.0,1.0,3.0,4.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,2.0
643,4.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,1.0,3.0,3.0,1.0,1.0
654,4.0,2.0,5.0,3.0,5.0,2.0,3.0,4.0,5.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,3.0,4.0,1.0,4.0,3.0,5.0
