,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
4,2.0,5.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0
8,3.0,1.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0
17,2.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0
29,4.0,3.0,4.0,1.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0
41,5.0,1.0,2.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,5.0,1.0,1.0
59,4.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,1.0
64,4.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,4.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0
66,5.0,1.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,3.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,2.0
72,5.0,3.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0
74,5.0,2.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0
75,5.0,1.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,5.0
77,4.0,1.0,2.0,2.0,5.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0
95,5.0,3.0,3.0,1.0,5.0,1.0,5.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,1.0,4.0,5.0,2.0,1.0
98,5.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,3.0
99,5.0,5.0,3.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,3.0
122,4.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0
132,5.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,4.0
137,4.0,1.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,1.0,1.0,5.0,5.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,5.0,3.0
146,1.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0
147,5.0,1.0,2.0,4.0,5.0,1.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,5.0,5.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,5.0,4.0,2.0
150,2.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,5.0,2.0
153,4.0,3.0,3.0,3.0,5.0,2.0,5.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0
158,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,1.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0
164,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0
169,4.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,5.0,3.0,3.0
172,4.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,4.0,2.0
174,4.0,2.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0
188,3.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,5.0,4.0,2.0,1.0
196,4.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0,2.0
200,4.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0
203,5.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0,5.0,3.0
