,Active.sport,Adrenaline.sports,Art.exhibitions,Biology,Cars,Celebrities,Chemistry,Countryside..outdoors,Dancing,Economy.Management,Foreign.languages,Fun.with.friends,Gardening,Geography,History,Internet,Law,Mathematics,Medicine,Musical.instruments,PC,Passive.sport,Pets,Physics,Politics,Psychology,Reading,Religion,Science.and.technology,Shopping,Theatre,Writing
3,2.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,1.0,4.0,3.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0
4,1.0,1.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,3.0
10,4.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,1.0
15,1.0,1.0,4.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0
32,1.0,2.0,4.0,2.0,3.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0
44,3.0,2.0,5.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0
55,4.0,1.0,5.0,3.0,2.0,1.0,4.0,5.0,4.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,5.0,2.0
58,3.0,2.0,5.0,3.0,1.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,1.0,2.0,5.0,5.0,2.0,1.0,3.0,2.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0
83,1.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0
85,1.0,3.0,3.0,4.0,3.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,1.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0
89,1.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0
90,2.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0
93,2.0,2.0,5.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0
112,3.0,3.0,5.0,3.0,1.0,2.0,2.0,5.0,3.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0
115,1.0,4.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,5.0,4.0,4.0
117,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,2.0,5.0
123,2.0,1.0,5.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,3.0,5.0,2.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,3.0,5.0,3.0
124,4.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,5.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0
126,3.0,2.0,4.0,3.0,1.0,1.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0
134,4.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0
140,4.0,3.0,4.0,3.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
141,1.0,5.0,5.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0
152,5.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0
