,Active.sport,Adrenaline.sports,Art.exhibitions,Biology,Cars,Celebrities,Chemistry,Countryside..outdoors,Dancing,Economy.Management,Foreign.languages,Fun.with.friends,Gardening,Geography,History,Internet,Law,Mathematics,Medicine,Musical.instruments,PC,Passive.sport,Pets,Physics,Politics,Psychology,Reading,Religion,Science.and.technology,Shopping,Theatre,Writing
8,5.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
29,5.0,4.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,4.0,5.0,1.0,4.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0
31,5.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,1.0
64,5.0,5.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,4.0,3.0,5.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0
67,5.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0
71,5.0,5.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0
72,5.0,3.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,4.0,5.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0
73,3.0,4.0,1.0,1.0,3.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0
74,5.0,1.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0
75,5.0,4.0,3.0,1.0,5.0,1.0,1.0,5.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0
77,5.0,4.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0
80,3.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,4.0,5.0,3.0,1.0
81,5.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0
82,5.0,4.0,3.0,1.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0
96,2.0,5.0,3.0,2.0,5.0,3.0,1.0,4.0,1.0,2.0,4.0,5.0,1.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,5.0,3.0,3.0,1.0
98,5.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0
99,5.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0
106,5.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0
114,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0
122,2.0,5.0,1.0,2.0,5.0,3.0,2.0,4.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0
132,1.0,5.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0,1.0
169,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0
172,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0
174,3.0,2.0,1.0,2.0,5.0,1.0,3.0,4.0,1.0,2.0,4.0,5.0,1.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,2.0
177,5.0,3.0,3.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,2.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0
196,4.0,3.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0
